id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17326165,Hilton Hotel Area • Renovated Apt in central area,1167063,Dimi David,,ΠΑΓΚΡΑΤΙ,37.97179,23.74765,Entire home/apt,50,1,49,2019-02-18,1.49,41,346
17326297,Apartment near the center of Athens 57m2,116962250,Margarita,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,38.0003,23.7239,Entire home/apt,24,1,19,2018-12-02,0.60,1,0
17327586,"Top floor contemporary studio flat, large terraces",4452331,Orestis,,ΙΛΙΣΙΑ,37.9762,23.75651,Entire home/apt,35,3,85,2019-11-10,2.59,1,80
17329473,Sunny design apartment in charming neighborhood,6068569,Antonis,,ΠΕΤΡΑΛΩΝΑ,37.97183,23.71121,Entire home/apt,39,2,221,2019-11-02,6.77,3,347
17335270,Miaouli8 Loft 2,12219175,Stratis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97796,23.7249,Entire home/apt,47,2,115,2019-10-30,3.56,3,349
17342908,A modern apartment 200 m far away from Acropolis!,47099355,Anna-Maria,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96804,23.72609,Entire home/apt,150,2,106,2019-11-04,6.64,2,290
17342963,"Vintage-Light studio, in lively Gkazi",107426146,Christos,,ΚΕΡΑΜΕΙΚΟΣ,37.97947,23.7111,Entire home/apt,30,1,328,2019-11-01,10.39,2,74
17350984,KYMA Apartments - Athens Acropolis 4,75330319,Kyriakos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96011,23.72364,Entire home/apt,60,2,3,2019-05-28,0.11,4,353
17351012,Charming spacious 4 bedroom flat in central Athens,3593793,Desy,,ΠΑΓΚΡΑΤΙ,37.97151,23.74484,Entire home/apt,180,2,60,2019-11-06,1.85,5,343
17354554,Terpsikhore Muses Resid. Apt w/balcony & amenities,113548208,Mary,,ΑΚΡΟΠΟΛΗ,37.96368,23.71679,Entire home/apt,30,2,6,2019-10-09,0.19,29,321
17358458,1BDR Apt in the heart of Kolonaki,117271364,Angie,,ΚΟΛΩΝΑΚΙ,37.97972,23.74504,Entire home/apt,50,2,34,2019-10-18,1.15,1,345
17361123,Cozy Apt 7minutes from metro keramikos night life.,109950451,Dimitra,,ΒΟΤΑΝΙΚΟΣ,37.9777,23.70399,Entire home/apt,47,1,68,2019-11-02,2.32,1,8
17378526,Vintage Traditional House,117442711,Babìs,,ΠΕΤΡΑΛΩΝΑ,37.97283,23.71512,Entire home/apt,45,2,122,2019-11-10,3.84,1,262
17382462,Art maisonette 15 minutes from historical center,78416344,Konstantinos,,ΠΑΤΗΣΙΑ,38.01357,23.72945,Entire home/apt,20,3,20,2019-11-17,0.90,1,355
17384416,Museum cozy spacious flat,32948108,Michalis,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99119,23.72977,Entire home/apt,37,1,14,2019-09-24,0.44,20,362
17384883,"""The Red Door""",117505836,Nikos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96685,23.72623,Entire home/apt,58,2,19,2017-10-08,0.59,1,0
17385124,Romantic Apartment in Athens | 7 min from Metro,46631710,Maria,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99317,23.77107,Entire home/apt,30,1,97,2019-11-12,2.92,2,364
17389610,Acropolis Big 2 rooms+living room 2 bath & garden,5630134,Ioannis,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96743,23.72696,Entire home/apt,45,2,204,2019-11-17,6.41,2,319
17411473,KYMA Apartments - Athens Acropolis 6,14635878,Manos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95971,23.72217,Entire home/apt,45,2,1,2017-12-15,0.04,7,345
17416211,Cultural City Center - 73m2 Sweet Home,117778727,Elena - Athina,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96379,23.72425,Entire home/apt,37,2,91,2019-10-26,2.77,3,263
17418913,Hera luxury apartment,6420310,Maria,,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,37.98726,23.72063,Entire home/apt,320,3,0,,,1,89
17419351,"Cozy apartment in Thiseio, near Acropolis & Plaka!",5291030,Yannis,,ΘΗΣΕΙΟ,37.97648,23.7175,Entire home/apt,40,2,54,2019-09-24,1.66,1,0
17425345,Elegant Apartment in Kolonaki,100140550,Break,,ΛΥΚΑΒΗΤΤΟΣ,37.98315,23.751,Entire home/apt,71,1,11,2019-10-07,0.46,20,352
17428323,Neoclassical res w/ Acropolis view,76583848,House Of Athens,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97099,23.73048,Entire home/apt,400,1,98,2019-10-21,3.11,5,351
17431143,Best Location Luxurious Loft near Acropolis,47882738,Liberty,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98037,23.72585,Entire home/apt,50,1,131,2019-06-26,3.96,2,310
17433772,Acropolis view Rooftop Studio 1'min from METRO,1031504,Jim Watt,,ΚΟΛΟΚΥΝΘΟΥ,38.00264,23.71367,Entire home/apt,20,1,50,2019-11-02,1.55,3,66
17443994,CENTRAL ATHENS  Private Room,118057960,Maria Maya,,ΚΟΛΩΝΟΣ,37.99523,23.71495,Private room,38,2,3,2018-09-16,0.12,2,341
17445339,"CENTRAL ATHENS large studio, artistic & private.",118057960,Maria Maya,,ΚΟΛΩΝΟΣ,37.99414,23.71418,Entire home/apt,40,2,71,2019-11-10,2.74,2,327
17455270,Old Traditional house under Acropolis,118174535,Cleo,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97228,23.73289,Private room,45,2,78,2019-09-26,2.41,1,0
17455901,"Ma Maison Penthouse, Acropolis&Lycabetus view, fifteen min to Acropolis by metro",118181401,Ma Maison,,ΝΙΡΒΑΝΑ,38.01405,23.72546,Entire home/apt,60,2,200,2019-11-08,6.09,3,308
17455908,"Authentic, spacious, central apartment",116399433,Peggy,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99416,23.73056,Entire home/apt,39,4,52,2019-09-30,1.59,1,226
17474302,Luxurious Apartment  with a view of Acropolis,95704283,Maria,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99219,23.73037,Entire home/apt,60,2,16,2019-10-22,0.53,1,364
17478076,YOUR BRAND NEW  Awesome Acropolis Home,40581478,Γιαννης / Yannis,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96536,23.72586,Entire home/apt,65,1,196,2019-10-31,6.02,3,341
17478689,Aerides Luxury Suites in the heart of the old city,32915486,Sotirios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97598,23.7236,Entire home/apt,240,2,12,2019-10-27,0.39,1,344
17479698,Acropolis Caryatid Apartment 2 in historic center,98937049,Eva,,ΑΚΡΟΠΟΛΗ,37.96957,23.72648,Entire home/apt,80,2,30,2019-10-27,1.03,2,354
17487718,1 min from metro and 5 from Akropolis cozy apart!,118483240,Theodora,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96529,23.7266,Entire home/apt,35,3,184,2019-10-19,5.62,1,311
17488748,Brand new apartment with one bedroom next to Metro,1621474,Mint Team,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.99102,23.72979,Entire home/apt,38,3,58,2019-10-27,1.84,78,365
17494323,Studio apart 1 min from metro/5 min from Acropolis,36706129,Boris And Yana,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.965,23.72665,Entire home/apt,27,3,12,2019-09-20,0.39,4,359
17495305,❤️A Hidden Gem w/Balcony ≡1 min to Metro Station ❗,118550391,Panos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98582,23.72005,Entire home/apt,90,7,355,2019-11-09,10.78,1,90
17495461,Cosy studio in the very heart of Athens,66440417,Anna,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98319,23.73238,Entire home/apt,24,2,84,2019-11-18,2.76,1,76
17497090,Orange Bedroom in the center of Athens,116477469,Orfeas,,ΠΑΤΗΣΙΑ,38.01336,23.73796,Private room,16,1,0,,,1,0
17505787,Bright Studio /w Terrace & View Overlooking Athens,103420619,Jason,,ΛΥΚΑΒΗΤΤΟΣ,37.98349,23.74097,Entire home/apt,45,1,110,2019-11-03,6.12,1,224
17506477,cozy and renovated apartment in exarcheia,34366242,Olga&Nik,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98491,23.73947,Entire home/apt,25,1,65,2019-09-18,1.99,1,106
17509739,Charming Apartment,17122775,Eleni,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98521,23.72455,Entire home/apt,60,2,1,2018-04-22,0.05,1,180
17511573,Where the ancient and new Athens are tied up,35687127,Kleoni,,ΠΑΓΚΡΑΤΙ,37.96896,23.74858,Entire home/apt,60,3,2,2019-07-16,0.07,1,365
17519200,2 apts in 1 building with great views!,1418201,Dean,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97975,23.72735,Entire home/apt,147,2,16,2019-04-11,0.51,66,330
17521813,Brand new Stylish apartment with lovely rooftop,1621474,Mint Team,,ΚΕΡΑΜΕΙΚΟΣ,37.98194,23.71302,Entire home/apt,42,2,65,2019-08-26,2.03,78,0
17522954,Spacious 3 bedroom apartment in Thessio,1621474,Mint Team,,ΘΗΣΕΙΟ,37.97457,23.71855,Entire home/apt,60,2,34,2019-09-14,1.15,78,335
17529455,"Duplex 100 square meters, 3 bedrooms,  2 terraces",118870062,Pascal,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95226,23.72562,Entire home/apt,69,2,62,2019-10-27,1.96,1,309
17531132,dream flat in Athens - 7m from Metrο,58007861,Costas,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98575,23.73552,Entire home/apt,40,2,203,2019-10-29,6.40,2,294
17539583,Παραδοσιακή ελληνική γειτονιά,118970359,Παναγιώτα,,ΠΑΤΗΣΙΑ,38.0134,23.73603,Entire home/apt,20,1,20,2019-06-23,0.62,1,31
17540557,Newly refurbished 1BR in the center of Athens,7478320,Jeff,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98367,23.72392,Entire home/apt,24,1,65,2019-10-31,2.00,1,12
17542914,Cosy 2BD apt 10'from Acropolis & historical center,72845584,Athina,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96495,23.72365,Entire home/apt,65,1,143,2019-11-10,5.02,3,348
17551906,Akropolis Revoked Duke - @CAVO,66855617,Alexandros,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96849,23.72968,Entire home/apt,60,2,125,2019-01-03,3.89,2,0
17554600,-30% LAST MINUTE OFFER  Athens FascinatingNewflat,3489820,Acropolis Athens,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96527,23.72871,Entire home/apt,85,1,18,2019-08-26,0.55,6,0
17559373,Kolonaki 2BR Deco Apartment,77689099,Ilona,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98158,23.73692,Entire home/apt,150,2,2,2017-09-17,0.07,2,118
17562975,NEW!! APT + HUGE BALCONY NEAR ACROPOLIS - HIPSTERS,13027634,Eleni,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96389,23.72337,Entire home/apt,40,1,86,2019-10-28,3.04,1,341
17568003,"Romantic flat under the Acropolis, in Plaka",119276635,Kimon,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97102,23.73213,Entire home/apt,120,2,45,2019-01-04,1.42,1,0
17568882,A central nostalgic apartment in Exarchia (Museum),119286549,Joanna,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.99103,23.7359,Entire home/apt,27,2,77,2019-11-10,4.15,1,291
